DataVendita	CodiceProdotto	Quantità
10/12/2014	LW46HT	10
10/12/2014	A80DG	15
11/12/2014	LW46HT	15
11/12/2014	A80DG	20
12/12/2014	LW46HT	20
12/12/2014	K72FF	30
13/12/2014	LW46HT	45
13/12/2014	A80DG	50
14/12/2014	AB73FT	50
14/12/2014	A80DG	60
17/12/2014	A80DG	70
17/12/2014	K72FF	70
18/12/2014	LW46HT	85
18/12/2014	LW46HT	85
19/12/2014	AB73FT	90
20/12/2014	K72FF	95
21/12/2014	K72FF	95
21/12/2014	A80DG	100
24/12/2014	K72FF	10
24/12/2014	AB73FT	15
25/12/2014	A80DG	20
25/12/2014	LW46HT	25
26/12/2014	LW46HT	25
26/12/2014	K72FF	30
27/12/2014	K72FF	35
27/12/2014	AB73FT	60
30/12/2014	K72FF	65
30/12/2014	K72FF	70
31/12/2014	LW46HT	75
31/12/2014	A80DG	10
1/1/2015	LW46HT	30
2/1/2015	A80DG	35
3/1/2015	A80DG	40
3/1/2015	AB73FT	40
6/1/2015	K72FF	45
6/1/2015	A80DG	50
7/1/2015	K72FF	55
7/1/2015	LW46HT	65
8/1/2015	A80DG	70
8/1/2015	A80DG	85
9/1/2015	K72FF	90
9/1/2015	A80DG	95
12/1/2015	K72FF	40
12/1/2015	K72FF	40
13/1/2015	LW46HT	40
13/1/2015	LW46HT	40
14/1/2015	A80DG	50
15/1/2015	LW46HT	60
16/1/2015	K72FF	75
16/1/2015	LW46HT	85
19/1/2015	A80DG	90
19/1/2015	AB73FT	90
20/1/2015	A80DG	95
20/1/2015	LW46HT	95
21/1/2015	AB73FT	10
21/1/2015	AB73FT	15
22/1/2015	K72FF	35
22/1/2015	LW46HT	35
25/1/2015	LW46HT	40
25/1/2015	A80DG	45
26/1/2015	LW46HT	45
26/1/2015	A80DG	60
27/1/2015	AB73FT	60
28/1/2015	A80DG	65
29/1/2015	AB73FT	65
29/1/2015	AB73FT	65
1/2/2015	LW46HT	65
1/2/2015	LW46HT	65
2/2/2015	K72FF	70
2/2/2015	A80DG	75
3/2/2015	K72FF	75
3/2/2015	K72FF	95
4/2/2015	A80DG	25
4/2/2015	K72FF	35
7/2/2015	AB73FT	40
7/2/2015	AB73FT	40
8/2/2015	AB73FT	50
8/2/2015	K72FF	50
9/2/2015	LW46HT	60
10/2/2015	K72FF	70
11/2/2015	LW46HT	75
11/2/2015	LW46HT	80
14/2/2015	A80DG	90
14/2/2015	K72FF	100
15/2/2015	AB73FT	10
15/2/2015	K72FF	10
16/2/2015	K72FF	25
16/2/2015	LW46HT	45
17/2/2015	LW46HT	45
17/2/2015	LW46HT	65
20/2/2015	A80DG	75
20/2/2015	A80DG	75
21/2/2015	AB73FT	75
21/2/2015	A80DG	80
22/2/2015	AB73FT	80
23/2/2015	AB73FT	85
24/2/2015	K72FF	85
24/2/2015	LW46HT	85
27/2/2015	AB73FT	95
27/2/2015	A80DG	15
28/2/2015	K72FF	15
28/2/2015	A80DG	45
1/3/2015	A80DG	60
1/3/2015	AB73FT	65
2/3/2015	K72FF	65
2/3/2015	AB73FT	70
5/3/2015	AB73FT	70
5/3/2015	K72FF	100
6/3/2015	A80DG	20
6/3/2015	AB73FT	30
7/3/2015	AB73FT	45
8/3/2015	A80DG	50
9/3/2015	A80DG	55
9/3/2015	K72FF	65
12/3/2015	LW46HT	65
12/3/2015	A80DG	70
13/3/2015	K72FF	70
13/3/2015	A80DG	75
14/3/2015	K72FF	80
14/3/2015	A80DG	85
15/3/2015	AB73FT	85
15/3/2015	LW46HT	90
18/3/2015	A80DG	95
18/3/2015	AB73FT	100
19/3/2015	K72FF	100
19/3/2015	LW46HT	20
20/3/2015	K72FF	30
21/3/2015	K72FF	55
22/3/2015	AB73FT	60
22/3/2015	A80DG	70
25/3/2015	AB73FT	75
25/3/2015	K72FF	80
26/3/2015	A80DG	85
26/3/2015	A80DG	10
27/3/2015	A80DG	20
27/3/2015	A80DG	25
28/3/2015	A80DG	35
28/3/2015	AB73FT	35
31/3/2015	K72FF	35
31/3/2015	AB73FT	40
1/4/2015	AB73FT	50
1/4/2015	AB73FT	50
2/4/2015	LW46HT	50
3/4/2015	A80DG	55
4/4/2015	A80DG	65
4/4/2015	AB73FT	65
7/4/2015	K72FF	75
7/4/2015	A80DG	80
8/4/2015	LW46HT	85
8/4/2015	LW46HT	85
9/4/2015	LW46HT	90
9/4/2015	AB73FT	95
10/4/2015	K72FF	95
